,text
305,"Competitive, competent-based salary (enough money and no financial worries so you can focus on work) Work with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb Be considered for regular salary increase 2 times/year Tet bonus according to work results Flexible working hours Enjoy the benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...) Work in a young, dynamic, super friendly environment TGIF+ Weekly Festival Provide computers/laptops/working equipment Bonus 1 night stay at any homestay monthly"
306,Application Enter the form below and we'll contact you as soon as possible
307,Select one... First Choice Second Choice Third Choice
308,Upload a CV
309,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
310,Vacancies
311,"Senior Marketing Manager Here, we work in a spirit of mutual reciprocity, constantly seeking & selecting interesting people, inspiring us to work harder. Hope you will join us in changing the world, making it better day by day, one customer at a time!"
312,Job description
313,"Plan and develop a strategy, implement and measure the overall marketing plan, advertising and event plan for the company's brand to be able to serve B2B partners as well as the B2C segment Track implementation and report results Market analysis, Customer segmentation, competitor product research... to develop the market, develop marketing activities in accordance with the company's business orientation Plan and implement branding, PR, event programs. Online/offline event organization (Workshop, Seminar, Webinar, Product Introduction, Bidding Tour Presentation, Teambuilding, Gala dinner,...) Plan Digital Marketing in accordance with the company strategy and directly deploy advertising campaigns for Digital channels: Facebook Ads, Google Ads, Zalo Ads ... Establish and maintain relationships with the media and press. Implement monitoring to build Online and Offline Marketing resources Building a measurement system to report marketing activities Responsible for managing, training and developing marketing staff; supervise and fulfill the set targets, report the jeets periodically and as required. Support other tasks with teams as allocated by the Board of Directors"
314,"Job Requirements Qualifications, professional experience:"
315,"Experience working in Marketing positions Knowledge of marketing departments (including traditional and digital marketing such as SEO and social media) and market research methods Experience analyzing data and using marketing tools Proficient in MS Office software, marketing software (such as Adobe Creative Suite & CRM) and SEO tools (Web analytics, Google Adwords ...) Good communication and writing skills  Proficient in Office Informatics, Powerpoint.  Skilled in product presentation or bidding"
316,Personal qualities:
317,"Ability to work independently and in a team. Honesty, agility, patience, enthusiasm in work Ability to be under high pressure at work. Have a spirit of learning"
318,Right
319,"Competitive, competent-based salary (enough money and no financial worries so you can focus on work). Working with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb. Be considered for regular salary increase 2 times/year Tet bonus according to work results. Flexible working hours. Enjoy the benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...) Work in a young, dynamic, super friendly environment TGIF+ Weekly Festival Provide computers/laptops/working equipment Bonus 1 night stay at any homestay monthly"
320,‍
321,Application Enter the form below and we'll contact you as soon as possible
322,Select one... First Choice Second Choice Third Choice
323,Upload a CV
324,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
325,Vacancies
326,"SEO Executive Cohost AI Vietnam is a pioneer in applying technology to home-sharing, multi-platform accommodation business; founded in Silicon Valley, USA, by Vietnamese and international experts. Our company consists of young, creative, passionate and enthusiastic people with artificial intelligence technology and travel"
327,Job description
328,"Make a long-term SEO plan Keyword research for your products Competitor research Website technical optimization Build backlinks, increase domain rankings"
329,Request
330,"Have a minimum of 6 months of SEO experience Knowledgeable about SEO, Google algorithms Have a white hat SEO mindset Communicate well and work well with colleagues Proficient in SEO tools (Ahref, Semrush, Search console,...) Understanding HTML is 1 advantage"
331,Right
332,"Competitive salary, according to capacity  Work with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb  Be considered for regular salary increase 2 times / year Tet bonus according to work results  Flexible working hours Enjoy benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...)  Working in a young, dynamic, super friendly environment TGIF + weekly festival  Provide computers/laptops/working equipment Rewarded with 1 night stay at any homestay every month"
333,‍
334,Application Enter the form below and we'll contact you as soon as possible
335,Select one... First Choice Second Choice Third Choice
336,Upload a CV
337,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
338,Vacancies
339,"Trainee AI Engineer Cohost AI is a small innovative startup organization, we work on the spirit of mutual reciprocity, constantly looking for & recruiting interesting people, inspiring us to work harder. Hope you will join us in changing the world, making it better day by day, one customer at a time"
340,"Responsibilities - Participate in web and mobile application development on iOS/Android platform - Perform other tasks at the request of the team leader. Must Have - Our first request is curiosity, inquisitiveness in you. - You are a student who is in the internship of the school or want to strengthen your knowledge of programming languages; - Already know the basics of programming. Pass the Entry Test. - Positive working attitude. - Honesty, agility, enthusiasm for work. - Ability to withstand high pressure at work. Nice To Have - Be able to read and understand English documents. - Students have fulltime working time and have a desire to stick with them for a long time. What's great in the job? - Internship support from 3,000,000 / month, lunch allowance, gasoline allowance. - Be trained in practical projects - Working in a dynamic, friendly and professional environment, having the opportunity to become a full-time employee after the internship. - Provide adequate equipment to serve the job. - Support good paperwork and stamps and comments after the end of the internship. ‍"
341,Application Enter the form below and we'll contact you as soon as possible
342,Select one... First Choice Second Choice Third Choice
343,Upload a CV
344,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
345,Vacancies
346,"Web/Frontend Developer Cohost AI Vietnam is a pioneer in applying technology to home-sharing, multi-platform accommodation business; founded in Silicon Valley, USA, by Vietnamese and international experts"
347,Job description
348,"Develop Web-based applications for Cohost Club - a travel sharing and homestay platform.  Ensure the quality of performance as well as the stability of the product. Collaborate with other team members and departments to build new features. Fix errors, change products to suit operating needs"
349,Job Requirements
350,"Have experience with frontend frameworks NodeJS, React, AngularJS, jQuery, Bootstrap ... Built web product, there are >10 users. Experience in declarative UI: React Native, Component Kit, Litho, Swift UI. Master the SOA model, Service Oriented Architecture, RESTful API code at a glance. Proficient in source code management tools, Git / CVS / Mercury, GitHub, GitLab, ... Writing Unit Tests is as easy as needed. Understand the Test Driven Development process. Experience in using design tools such as Balsamiq, Figma, Sketch ...  Good understanding of the system, memory management, finding and processing leak memory. The more experience you have in mobile development, the better. Read/Write/Speak English. Agile Development (Scrum, Standup, Sprint) Curiosity, inquisitiveness, will to progress Flexibility and resistance to pressure"
351,Right
352,"Competitive, competent-based salary (enough money and no financial worries so you can focus on work). ESOP shares (we consider you a shareholder, and share success with you). Working with multinational experts, and associates with many years of experience developing software for Google, Amazon, Airbnb. Be considered for regular salary increase 2 times/year Tet bonus according to work results. Flexible working hours. Enjoy the benefits and regimes prescribed by law (Public holidays, social insurance, health insurance ...) The opportunity to travel for free thanks to the company's products. Work in a young, dynamic, super friendly environment TGIF+ Weekly Festival Macbook Pro, Flat screen monitor"
353,‍
354,Application Enter the form below and we'll contact you as soon as possible
355,Select one... First Choice Second Choice Third Choice
356,Upload a CV
357,Thank you! Your submission has been received! Oops! Something went wrong while submitting the form
358,"Solution for serviced apartment owners Eliminating all the difficulties that homeowners are facing is the mission of Cohost AI. Join us in smart, efficient and optimal business"
359,Get started
360,"cohost platform Accompany cohost AI, you will"
361,Increase the number of loyal customers Good customer care in this service industry is paramount. You can do even better with the CRM management feature included in Cohost AI
362,"Say goodbye to overbookings Overbooking is really annoying and takes time to solve thoroughly. Cohost AI will help you synchronize calendars on OTA channels automatically, so you will limit overbookings"
363,Profit optimization Compared to the recruitment of personnel for operation and management. Using CoHost AI will help you save 30% of costs and increase revenue by 18% compared to normal
364,"5-star experience Cohost AI helps you work with cleaners more efficiently. Control the room status after check-in, check-out accurately"
365,Perfect service - 5-star standard guest care
366,"Multi-channel management Adjust the price, status, and calendar of listings on a single platform. Changes will be updated and synchronized on OTA channels completely automatically"
367,Automate work schedules Automate work schedules
368,Control all activities Every activity in your business is recorded. Controlling all activities will help you minimize unnecessary accidents
369,End-to-end management - Handle all requests:
370,Customer Information System Customer information is managed intuitively and conveniently. Thereby optimizing customer care flow
371,Transparency of revenue and expenditure Detailed and transparent financial statements on a monthly basis. Easily manage and evaluate your business situation
372,Multi-device access Access the app across a variety of devices and platforms. Management is extremely convenient and flexible
373,Success story
374,What customers say about us
375,Testimonial swipe left Testimonial swipe right
376,"I sympathize with the landlords about the difficulties when operating the homestay chain because there will be many small costs incurred, so it will take a lot of energy and time to solve each of those costs. This has prompted me to look for a solution and Cohost Club is my best solution and choice"
377,Dhouse Dalat Villa
378,"In the early days of running the homestay, I was sent back every week to complaints that the house was not cleaned, while I was told from maid that I had moved. And it took me a while to solve this problem. Thankfully, heaven doesn't spare people! I know about Cohost Club and the problem is completely solved"
379,Garden Pond Villa
380,"Cohost AI has saved me a lot of time. I have plenty of time to focus on improving the stay experience and researching the market. Without Cohost AI, I would probably have to spend that time responding to each customer message and coordinating listings on OTA channels"
381,Veque Homestay Homestay
382,"Thank you CoHost Club for helping me operate homestay more efficiently. It is now possible to digitally transform without having to worry about fixed costs anymore. Currently, I can completely spend time researching the market, as well as trending trends to attract more customers"
383,Beta Apartments Serviced Apartments
384,"When I first started my homestay business, I wondered how many hosts could manage so many homestay chains at the same time. Meanwhile, with only 3 homestays, I struggle a lot. Then when I knew Cohost Club, I was answered. Now I can spend time networking to develop homestay instead of sitting and chatting with each guest as before"
385,Zeta Homes Homestay chains
386,Partner
387,Frequently Asked Questions View all
388,About features What specific jobs does the software support serviced apartment owners?
389,Cohost AI software supports homeowners:
390,"Automatic check-in/out.  Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets. Offer e-training courses on co-host professions"
391,Overview Is it possible to operate a serviced apartment with a staff of only one person?
392,"You can completely operate a serviced apartment alone when using Cohost AI software with artificial intelligence applications. Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
393,About features How to simultaneously increase personnel efficiency and reduce operating costs at the same time?
394,Homeowners can completely increase personnel efficiency and reduce operating costs at the same time if using the following features of the software:
395,"Multi-channel synchronization: Helps manage 100+ sales channels leisurely, reduces opening multiple windows by 100% and avoids overbooking. Chatbot applies artificial intelligence to support customer response: Helping to save 80% of the volume of information that has to be exchanged with customers. Automatic check-in/ out: Helps cut 30% of the amount of time and effort the host has to spend to check in / out for guests. Methodical check-list system to control assets: Helps control 95% of room quality risks and property loss"
396,‍
397,Overview Serviced apartment owners can only manage and operate all activities when present at the accommodation facility?
398,"With Cohost AI housing management software, homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
399,View all
400,"Solutions for Cohost - Tech Butler Eliminating all the difficulties that homeowners are facing is the mission of Cohost AI. Join us in smart, efficient and optimal business"
401,Get started
402,"cohost platform Accompany cohost AI, you will"
403,Increase the number of loyal customers Good customer care in this service industry is paramount. You can do even better with the CRM management feature included in Cohost AI
404,"Say goodbye to overbookings Overbooking is really annoying and takes time to solve thoroughly. Cohost AI will help you synchronize calendars on OTA channels automatically, so you will limit overbookings"
405,Profit optimization Compared to the recruitment of personnel for operation and management. Using CoHost AI will help you save 30% of costs and increase revenue by 18% compared to normal
406,"5-star experience Cohost AI helps you work with cleaners more efficiently. Control the room status after check-in, check-out accurately"
407,Upgrade your butler skills!
408,Institute of Technology Butlers Upgrade your butler skills with Cohost courses. You will learn from the leading experts in the accommodation industry
409,Transparency of revenue and expenditure Detailed and transparent financial statements on a monthly basis. Easily manage and evaluate your business situation
410,"Cloud storage All data is stored in the cloud, which is convenient for querying data on multiple devices. Management becomes more flexible!"
411,Operate hundreds of units at a time!
412,"Multi-channel management Adjust the price, status, and calendar of listings on a single platform. Changes will be updated and synchronized on OTA channels completely automatically"
413,Reply to messages automatically Ana will help hosts respond to customer messages completely automatically thanks to artificial intelligence
414,Multilingual translation Break down language barriers with Cohost AI's automated translation feature. It is very easy to communicate with foreign customers
415,Success story
416,What customers say about us
417,Testimonial swipe left Testimonial swipe right
418,"I sympathize with the landlords about the difficulties when operating the homestay chain because there will be many small costs incurred, so it will take a lot of energy and time to solve each of those costs. This has prompted me to look for a solution and Cohost Club is my best solution and choice"
419,Dhouse Dalat Villa
420,"In the early days of running the homestay, I was sent back every week to complaints that the house was not cleaned, while I was told from maid that I had moved. And it took me a while to solve this problem. Thankfully, heaven doesn't spare people! I know about Cohost Club and the problem is completely solved"
421,Garden Pond Villa
422,"Cohost AI has saved me a lot of time. I have plenty of time to focus on improving the stay experience and researching the market. Without Cohost AI, I would probably have to spend that time responding to each customer message and coordinating listings on OTA channels"
423,Veque Homestay Homestay
424,"Thank you CoHost Club for helping me operate homestay more efficiently. It is now possible to digitally transform without having to worry about fixed costs anymore. Currently, I can completely spend time researching the market, as well as trending trends to attract more customers"
425,Beta Apartments Serviced Apartments
426,"When I first started my homestay business, I wondered how many hosts could manage so many homestay chains at the same time. Meanwhile, with only 3 homestays, I struggle a lot. Then when I knew Cohost Club, I was answered. Now I can spend time networking to develop homestay instead of sitting and chatting with each guest as before"
427,Zeta Homes Homestay chains
428,Partner
429,Frequently Asked Questions View all
430,Overview Can co-hosts only manage and operate all activities when present at the accommodation facility?
431,"With Cohost AI housing management software, co-homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
432,"Overview With CoHost AI accommodation management software, can co-hosts really manage the house alone?"
433,"Co-homeowners can completely operate serviced apartments alone when using Cohost AI software with artificial intelligence applications. Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
434,About features What benefits do co-hosts benefit from CoHost AI accommodation management software?
435,Cohost AI software supports co-hosts:
436,"Automatic check-in/out.  Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets. Offer e-training courses on co-host professions"
437,Overview Who is a co-host?
438,"Co-hosts – co-hosts are people who will help the host with the accommodation business. Host - the landlord will hire cohosts to assist in managing one or more listings. Therefore, the co-host acts as the manager of the apartment and house instead of the landlord.  The co-hosts will ensure that the accommodation business is going smoothly by supporting and reducing the burden on the landlords. Co-hosts can help hosts with every aspect of their business, from apartment cleaning to customer care.  A co-host can be a friend, a neighbor. It is more convenient for homeowners if the co-hosts are people they know and trust before. Another option is to hire professional cohosts outside"
439,View all
440,"Solutions for homestay owners, villas, resorts, apartment chains Eliminating all the difficulties that homeowners are facing is the mission of Cohost AI. Join us in smart, efficient and optimal business"
441,Get started
442,"cohost platform Accompany cohost AI, you will"
443,Increase the number of loyal customers Good customer care in this service industry is paramount. You can do even better with the CRM management feature included in Cohost AI
444,"Say goodbye to overbookings Overbooking is really annoying and takes time to solve thoroughly. Cohost AI will help you synchronize calendars on OTA channels automatically, so you will limit overbookings"
445,Profit optimization Compared to the recruitment of personnel for operation and management. Using CoHost AI will help you save 30% of costs and increase revenue by 18% compared to normal
446,"5-star experience Cohost AI helps you work with cleaners more efficiently. Control the room status after check-in, check-out accurately"
447,Remote administration - Effective immediately
448,Control all activities Every activity in your business is recorded. Controlling all activities will help you minimize unnecessary accidents
449,Transparency of revenue and expenditure Detailed and transparent financial statements on a monthly basis. Easily manage and evaluate your business situation
450,Automate work schedules Automate work schedules
451,Easy access - Thousands of utilities - Cost savings
452,"Cloud storage All data is stored in the cloud, which is convenient for querying data on multiple devices. Management becomes more flexible!"
453,Multi-device access Access the app across a variety of devices and platforms. Management is extremely convenient and flexible
454,Summary of booking history All bookings will be saved in the cloud. Data retrieval is extremely easy and convenient
455,Success story
456,What customers say about us
457,Testimonial swipe left Testimonial swipe right
458,"I sympathize with the landlords about the difficulties when operating the homestay chain because there will be many small costs incurred, so it will take a lot of energy and time to solve each of those costs. This has prompted me to look for a solution and Cohost Club is my best solution and choice"
459,Dhouse Dalat Villa
460,"In the early days of running the homestay, I was sent back every week to complaints that the house was not cleaned, while I was told from maid that I had moved. And it took me a while to solve this problem. Thankfully, heaven doesn't spare people! I know about Cohost Club and the problem is completely solved"
461,Garden Pond Villa
462,"Cohost AI has saved me a lot of time. I have plenty of time to focus on improving the stay experience and researching the market. Without Cohost AI, I would probably have to spend that time responding to each customer message and coordinating listings on OTA channels"
463,Veque Homestay Homestay
464,"Thank you CoHost Club for helping me operate homestay more efficiently. It is now possible to digitally transform without having to worry about fixed costs anymore. Currently, I can completely spend time researching the market, as well as trending trends to attract more customers"
465,Beta Apartments Serviced Apartments
466,"When I first started my homestay business, I wondered how many hosts could manage so many homestay chains at the same time. Meanwhile, with only 3 homestays, I struggle a lot. Then when I knew Cohost Club, I was answered. Now I can spend time networking to develop homestay instead of sitting and chatting with each guest as before"
467,Zeta Homes Homestay chains
468,Partner
469,Frequently Asked Questions View all
470,About features What jobs does the software support property owners in?
471,Cohost AI software supports homeowners: Automatic check-in/out
472,"Multi-channel synchronization, helping to manage 100+ sales channels leisurely. Keep a close eye on financial statements. Support to answer customers 24/7 with Chatbot applying artificial intelligence.. Message group management includes 2 modes of guest messaging and internal messaging. Displays each listing's monthly, weekly, and daily calendar, showing the listing's scheduling status. Support flexible automatic translation when chatting with international guests. Supports sample messages in 5+ languages. Payment with a variety of channels (Momo, VnPay, Credit card). Provide a methodical check-list system to control assets"
473,About features How to simultaneously increase personnel efficiency and reduce operating costs at the same time?
474,Homeowners can completely increase personnel efficiency and reduce operating costs at the same time if using the following features of the software:
475,"Multi-channel synchronization: Helps manage 100+ sales channels leisurely, reduces opening multiple windows by 100% and avoids overbooking. Chatbot applies artificial intelligence to support customer response: Helping to save 80% of the volume of information that has to be exchanged with customers. Automatic check-in/ out: Helps cut 30% of the amount of time and effort the host has to spend to check in / out for guests. Methodical check-list system to control assets: Helps control 95% of room quality risks and property loss"
476,Overview Is it possible to operate a homestay with a staff of 1-3 people?
477,"You can completely operate homestay / villa / ... with a staff size of 1-3 people when using Cohost AI software with artificial intelligence applications.  Specifically, our software has taken on three roles at the same time: Customer Care, Finance and Accounting and Sales & Marketing"
478,Overview Can landlords only manage and operate all activities when they are present at the accommodation facility?
479,"With Cohost AI housing management software, homeowners can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
480,View all
481,"Solutions for hotel owners, hotel chains Eliminating all the difficulties that homeowners are facing is the mission of Cohost AI. Join us in smart, efficient and optimal business"
482,Get started
483,"cohost platform Accompany cohost AI, you will"
484,Increase the number of loyal customers Good customer care in this service industry is paramount. You can do even better with the CRM management feature included in Cohost AI
485,"Say goodbye to overbookings Overbooking is really annoying and takes time to solve thoroughly. Cohost AI will help you synchronize calendars on OTA channels automatically, so you will limit overbookings"
486,Profit optimization Compared to the recruitment of personnel for operation and management. Using CoHost AI will help you save 30% of costs and increase revenue by 18% compared to normal
487,"5-star experience Cohost AI helps you work with cleaners more efficiently. Control the room status after check-in, check-out accurately"
488,"Easy, efficient, convenient management!"
489,Transparency of revenue and expenditure Detailed and transparent financial statements on a monthly basis. Easily manage and evaluate your business situation
490,"Cloud storage All data is stored in the cloud, which is convenient for querying data on multiple devices. Management becomes more flexible!"
491,Summary of booking history All bookings will be saved in the cloud. Data retrieval is extremely easy and convenient
492,Remote administration - Effective immediately
493,Automate work schedules Automate work schedules
494,Success story
495,What customers say about us
496,Testimonial swipe left Testimonial swipe right
497,"I sympathize with the landlords about the difficulties when operating the homestay chain because there will be many small costs incurred, so it will take a lot of energy and time to solve each of those costs. This has prompted me to look for a solution and Cohost Club is my best solution and choice"
498,Dhouse Dalat Villa
499,"In the early days of running the homestay, I was sent back every week to complaints that the house was not cleaned, while I was told from maid that I had moved. And it took me a while to solve this problem. Thankfully, heaven doesn't spare people! I know about Cohost Club and the problem is completely solved"
500,Garden Pond Villa
501,"Cohost AI has saved me a lot of time. I have plenty of time to focus on improving the stay experience and researching the market. Without Cohost AI, I would probably have to spend that time responding to each customer message and coordinating listings on OTA channels"
502,Veque Homestay Homestay
503,"Thank you CoHost Club for helping me operate homestay more efficiently. It is now possible to digitally transform without having to worry about fixed costs anymore. Currently, I can completely spend time researching the market, as well as trending trends to attract more customers"
504,Beta Apartments Serviced Apartments
505,"When I first started my homestay business, I wondered how many hosts could manage so many homestay chains at the same time. Meanwhile, with only 3 homestays, I struggle a lot. Then when I knew Cohost Club, I was answered. Now I can spend time networking to develop homestay instead of sitting and chatting with each guest as before"
506,Zeta Homes Homestay chains
507,Partner
508,Frequently Asked Questions View all
509,Overview How to handle and ensure data safety at hotels?
510,"Depending on the needs of use, hoteliers can choose between Cloud computing including Private Cloud, Public Cloud or Hybrid Cloud. With cloud computing, hotel managers will not have to worry about the risk of system attacks, security, data backups, or system connections"
511,Overview The hotel owner manages and operates all activities only when staying at the accommodation facility?
512,"With Cohost AI housing management software, hoteliers can completely manage and operate their accommodation facilities remotely, no matter where they are or at any time on any device"
513,About features How do I minimize booking mistakes when there are already guests staying?
514,"Multi-platform booking sync feature from all OTAs, Facebook, Zalo channels,.. Of Cohost AI software will definitely be a lifesaver for hotel owners to minimize the situation of booking mistakes even if there are guests staying"
515,Overview What are the outstanding benefits of cloud-based computing in accommodation management?
516,"Technically: backing up or moving data is easier than ever. The system is always updated, the server is stable, the technology is always improved, and the schedule is also regularly maintained. In terms of cost: the input cost will be much lower than traditional PMS. Hotel owners do not have to pay server fees, maintenance fees, or manpower fees. In terms of flexibility and scalability: all big data is stored on the internet, and with a mobile-friendly design, hotel owners can completely access the system anywhere or at any time on any device. In terms of integration: the ability to experiment with new ideas and the most modern technology, using the cloud to test technologies such as artificial intelligence and machine learning algorithms. In terms of security: all systems using Cloud computing today comply with the most stringent security standards and security principles, including ISO 27001 or PCI DSS information security"
517,Overview Should hotels use cloud-based or traditional PMS management software?
518,"Before answering your concerns, we would like to make the following small comparison. 1. With traditional PMS management software:"
519,"Hardware systems are not only cumbersome, complex but extremely expensive. The system is only accessible to connected computer sources on the premises of the hotel. The system costs money for maintenance and costs for IT staff"
520,2. With cloud-based PMS management software:
521,"The system uses cloud computing technology, accessible from anywhere around the world. The system automatically backs up and secures information and data. Automatic and free update system, from which it is easy to upgrade and expand"
522,"Thus, it can be concluded that cloud computing solutions bring many benefits as well as better optimization than traditional software"
523,View all
524,"Join Cohost AI! Cohost AI is an innovative startup organization that works on a mutual spirit, constantly looking for & selecting interesting people, inspiring us to work harder. Hopefully you will join us in changing the world, making it better every day, one by one customer!"
525,Vacancies
526,Tech
527,Kỹ sư phần mềm Backend
528,"Hanoi, Vietnam"
529,Full-time
530,View details
531,Web/Frontend Developer
532,Hanoi
533,Full-time
534,View details
535,Mobile App Engineer (Flutter)
536,Hanoi
537,Full-time
538,View details
539,Data Science Intern
540,Ha Noi
541,Full-time
542,View details
543,SEO Executive
544,17 Banana Row
545,Full-time
546,View details
547,Bussiness Developer
548,Ha Noi
549,Full-time
550,View details
551,Marketing Assistant
552,Hanoi
553,Full-time
554,View details
555,Data & Machine Learning Engineer
556,Hanoi
557,Full-time
558,View details
559,Trainee AI Engineer
560,Hanoi
561,Part-time
562,View details
563,Senior Marketing Manager
564,Hanoi
565,Full-time
566,View details
567,Marketing
568,Kỹ sư phần mềm Backend
569,"Hanoi, Vietnam"
570,Full-time
571,View details
572,Web/Frontend Developer
573,Hanoi
574,Full-time
575,View details
576,Mobile App Engineer (Flutter)
577,Hanoi
578,Full-time
579,View details
580,Data Science Intern
581,Ha Noi
582,Full-time
583,View details
584,SEO Executive
585,17 Banana Row
586,Full-time
587,View details
588,Bussiness Developer
589,Ha Noi
590,Full-time
591,View details
592,Marketing Assistant
593,Hanoi
594,Full-time
595,View details
596,Data & Machine Learning Engineer
597,Hanoi
598,Full-time
599,View details
600,Trainee AI Engineer
601,Hanoi
602,Part-time
603,View details
604,Senior Marketing Manager
605,Hanoi
606,Full-time
607,View details
608,Other
609,Data Science Intern
610,Ha Noi
611,Full-time
612,View details
613,Bussiness Developer
614,Ha Noi
615,Full-time
616,View details
617,SEO Executive
618,17 Banana Row
619,Full-time
620,View details
621,Kỹ sư phần mềm Backend
622,"Hanoi, Vietnam"
623,Full-time
624,View details
625,Senior Marketing Manager
626,Hanoi
627,Full-time
628,View details
629,Trainee AI Engineer
630,Hanoi
631,Part-time
632,View details
633,Mobile App Engineer (Flutter)
634,Hanoi
635,Full-time
636,View details
637,Data & Machine Learning Engineer
638,Hanoi
639,Full-time
640,View details
641,Marketing Assistant
642,Hanoi
643,Full-time
644,View details
645,Web/Frontend Developer
646,Hanoi
647,Full-time
648,View details
649,"Pioneering in applying artificial intelligence to the accommodation business Cohost AI Vietnam, established in 2016, is a pioneer in the application of artificial intelligence to the operation of the accommodation industry"
650,What is Cohost? New solutions in the field of accommodation Cohost and host work collaboratively in the sharing economy model. Cohost is responsible for assisting business owners in remaining more efficient and profitable. And together they share that profit according to a pre-agreed-upon formula
651,Learn more
652,Company history of the establishment
653,2016 Established by the world's leading team of experts. Founder and CEO Kim Pham is a former Google and Airbnb engineer
654,"2018 Available in 6 countries with more than 2000 properties, 1000 hosts, 700 cohosts and more than 20000 bookings worldwide"
655,"2018 Available in 6 countries with more than 2000 properties, 1000 hosts, 700 cohosts and more than 20000 bookings worldwide"
656,2019 Successfully raise capital from a Korean venture capital fund (Mr. Lee Jaewoong - founder of Daum website is valued at about $ 30 billion and angel investor (Mr. Hung Dinh - founder of VIC Partners)
657,2020 Access to 9 provinces and cities in Vietnam with 1184 real estate. Trusted by 616 hosts with over 9000 successful bookings
658,2020 Access to 9 provinces and cities in Vietnam with 1184 real estate. Trusted by 616 hosts with over 9000 successful bookings
659,Chance Become Cohost Join Cohost for the chance to work with leading experts in technology while immersed in a dynamic and creative environment. Apply now!
660,Vacancies
